ordem_codigo,componente_codigo,quantidade_planejada,quantidade_consumida,justificativa,justificado_por
OP-2025-0001,SA-CARC-FUND,30.0000,30.0000,,
OP-2025-0002,SA-ESTRUT-SOLD,70.0000,70.0000,,
OP-2025-0002,MP-TINTA-EPOXI,56.0000,57.9992,Variação na espessura da camada de tinta,analista.pcp
OP-2025-0003,SA-CARC-USIN,40.0000,40.0000,,
OP-2025-0003,MP-ORING-40,80.0000,80.0000,,
OP-2025-0003,MP-GAXETA-NBR,40.0000,43.0000,Componente danificado no manuseio,supervisor.turno.a
OP-2025-0003,MP-PARAF-M8,160.0000,160.0000,,
OP-2025-0004,MP-ALU-A380,128.0000,134.1824,Refugo por porosidade na fundição,supervisor.turno.b
OP-2025-0005,SA-SUPORTE-EST,150.0000,150.0000,,
OP-2025-0005,MP-TINTA-EPOXI,18.0000,18.0000,,
OP-2025-0006,SA-CARC-USIN,30.0000,,,
OP-2025-0006,SA-EIXO-TEMP,60.0000,,,
OP-2025-0006,MP-ROLAM-6205,120.0000,,,
OP-2025-0006,MP-PARAF-M8,300.0000,,,
OP-2025-0007,SA-CARC-USIN,80.0000,80.0000,,
OP-2025-0007,SA-EIXO-TEMP,80.0000,80.0000,,
OP-2025-0007,MP-ROLAM-6205,160.0000,160.0000,,
OP-2025-0007,MP-PARAF-M8,640.0000,631.0000,Aproveitamento de sobra do lote anterior,supervisor.turno.a
OP-2025-0008,MP-ALU-A380,176.0000,176.0000,,
OP-2025-0009,SA-EIXO-USIN,60.0000,60.0000,,
OP-2025-0009,MP-OLEO-TEMPERA,9.0000,9.0000,,
OP-2025-0010,SA-CARC-USIN,40.0000,40.0000,,
OP-2025-0010,MP-ORING-40,80.0000,80.0000,,
OP-2025-0010,MP-GAXETA-NBR,40.0000,40.0000,,
OP-2025-0010,MP-PARAF-M8,160.0000,160.0000,,
OP-2025-0011,MP-ALU-A380,112.0000,112.0000,,
OP-2025-0012,MP-ALU-A380,272.0000,272.0000,,
OP-2025-0013,SA-CARC-FUND,40.0000,41.0000,Refugo por dimensional fora de tolerância,supervisor.turno.b
OP-2025-0014,SA-CARC-USIN,30.0000,30.0000,,
OP-2025-0014,SA-EIXO-TEMP,60.0000,64.0000,Componente danificado no manuseio,analista.pcp
OP-2025-0014,MP-ROLAM-6205,120.0000,120.0000,,
OP-2025-0014,MP-PARAF-M8,300.0000,300.0000,,
OP-2025-0015,MP-ACO-1045,221.0000,214.4142,Aproveitamento de sobra do lote anterior,supervisor.turno.c
OP-2025-0016,MP-ACO-1045,182.0000,194.6672,Perda de material no setup da máquina,supervisor.turno.b
OP-2025-0017,SA-CARC-FUND,55.0000,57.0000,Quebra de ferramenta durante o corte,supervisor.turno.c
OP-2025-0018,MP-ALU-A380,176.0000,187.7920,Perda de metal no canal de alimentação,analista.pcp
OP-2025-0019,MP-CHAPA-3MM,148.0000,148.0000,,
OP-2025-0020,MP-ALU-A380,112.0000,112.0000,,
OP-2025-0021,MP-ACO-1045,182.0000,182.0000,,
OP-2025-0022,SA-CARC-FUND,35.0000,35.0000,,
