material_codigo,versao,componente_codigo,quantidade_planejada
SA-EIXO-USIN,v1,MP-ACO-1045,2.6000
SA-EIXO-USIN,v2,MP-ACO-1045,2.3500
SA-EIXO-TEMP,v1,SA-EIXO-USIN,1
SA-EIXO-TEMP,v1,MP-OLEO-TEMPERA,0.1500
SA-CARC-FUND,v1,MP-ALU-A380,3.2000
SA-CARC-USIN,v1,SA-CARC-FUND,1
SA-SUPORTE-EST,v1,MP-CHAPA-3MM,1.8500
SA-ESTRUT-SOLD,v1,SA-SUPORTE-EST,4
SA-ESTRUT-SOLD,v1,MP-ARAME-MIG,0.2200
PA-MOTOR-A200,v1,SA-CARC-USIN,1
PA-MOTOR-A200,v1,SA-EIXO-TEMP,1
PA-MOTOR-A200,v1,MP-ROLAM-6205,2
PA-MOTOR-A200,v1,MP-PARAF-M8,8
PA-MOTOR-A200,v2,SA-CARC-USIN,1
PA-MOTOR-A200,v2,SA-EIXO-TEMP,1
PA-MOTOR-A200,v2,MP-ROLAM-6205,2
PA-MOTOR-A200,v2,MP-PARAF-M8,6
PA-MOTOR-A200,v2,MP-ORING-40,1
PA-REDUTOR-R50,v1,SA-CARC-USIN,1
PA-REDUTOR-R50,v1,SA-EIXO-TEMP,2
PA-REDUTOR-R50,v1,MP-ROLAM-6205,4
PA-REDUTOR-R50,v1,MP-PARAF-M8,10
PA-VALVULA-V10,v1,SA-CARC-USIN,1
PA-VALVULA-V10,v1,MP-ORING-40,2
PA-VALVULA-V10,v1,MP-GAXETA-NBR,1
PA-VALVULA-V10,v1,MP-PARAF-M8,4
PA-BASE-B30,v1,SA-ESTRUT-SOLD,1
PA-BASE-B30,v1,MP-TINTA-EPOXI,0.8000
PA-SUPORTE-PINT,v1,SA-SUPORTE-EST,1
PA-SUPORTE-PINT,v1,MP-TINTA-EPOXI,0.1200
