ordem_codigo,data_fabricacao,data_validade,status
OP-2025-0001,2025-03-08,2030-03-08,CONSUMIDO
OP-2025-0002,2025-03-04,2026-03-04,VENCIDO
OP-2025-0003,2025-03-10,2029-03-10,DISPONIVEL
OP-2025-0004,2025-03-12,2030-03-12,CONSUMIDO
OP-2025-0005,2025-03-10,2026-03-10,VENCIDO
OP-2025-0007,2025-03-11,2030-03-11,DISPONIVEL
OP-2025-0008,2025-03-12,2030-03-12,CONSUMIDO
OP-2025-0009,2025-03-13,2030-03-13,CONSUMIDO
OP-2025-0010,2025-03-24,2029-03-24,DISPONIVEL
OP-2025-0011,2025-03-21,2030-03-21,CONSUMIDO
OP-2025-0012,2025-03-19,2030-03-19,CONSUMIDO
OP-2025-0013,2025-03-20,2030-03-20,CONSUMIDO
OP-2025-0014,2025-03-27,2030-03-27,DISPONIVEL
OP-2025-0015,2025-03-25,2030-03-25,CONSUMIDO
OP-2025-0016,2025-03-25,2030-03-25,CONSUMIDO
OP-2025-0017,2025-03-22,2030-03-22,CONSUMIDO
OP-2025-0018,2025-03-26,2030-03-26,CONSUMIDO
OP-2025-0019,2025-03-25,2028-03-25,CONSUMIDO
OP-2025-0020,2025-04-02,2030-04-02,CONSUMIDO
OP-2025-0021,2025-03-30,2030-03-28,CONSUMIDO
OP-2025-0022,2025-04-04,2030-04-04,CONSUMIDO
OP-2025-0023,2025-04-03,2029-04-03,DISPONIVEL
OP-2025-0024,2025-04-02,2030-04-02,CONSUMIDO
OP-2025-0025,2025-04-03,2030-04-03,CONSUMIDO
OP-2025-0026,2025-04-04,2030-04-04,CONSUMIDO
OP-2025-0027,2025-04-10,2028-04-10,CONSUMIDO
OP-2025-0028,2025-04-03,2028-04-03,CONSUMIDO
OP-2025-0029,2025-03-31,2028-03-28,CONSUMIDO
OP-2025-0030,2025-04-09,2029-04-09,DISPONIVEL
OP-2025-0031,2025-04-08,2030-04-08,CONSUMIDO
OP-2025-0032,2025-04-13,2030-04-13,CONSUMIDO
OP-2025-0033,2025-04-13,2030-04-13,CONSUMIDO
OP-2025-0034,2025-04-08,2030-04-08,CONSUMIDO
OP-2025-0035,2025-04-12,2030-04-12,DISPONIVEL
OP-2025-0036,2025-04-16,2028-04-16,CONSUMIDO
OP-2025-0037,2025-04-14,2028-04-14,CONSUMIDO
OP-2025-0038,2025-04-10,2026-04-10,VENCIDO
OP-2025-0039,2025-04-14,2030-04-14,DISPONIVEL
OP-2025-0040,2025-04-12,2026-04-12,VENCIDO
OP-2025-0041,2025-04-19,2030-04-19,CONSUMIDO
OP-2025-0042,2025-04-10,2028-04-10,CONSUMIDO
OP-2025-0043,2025-04-12,2030-04-12,BLOQUEADO
OP-2025-0044,2025-04-20,2030-04-20,CONSUMIDO
OP-2025-0045,2025-04-18,2030-04-18,CONSUMIDO
OP-2025-0370,2025-04-14,2030-04-14,DISPONIVEL
OP-2025-0046,2025-04-18,2029-04-18,DISPONIVEL
